county,voted_asian_democrat,voted_asian_republican,voted_asian_nonpartisan,voted_european_democrat,voted_european_republican,voted_european_nonpartisan,voted_hispanic_democrat,voted_hispanic_republican,voted_hispanic_nonpartisan,voted_african_democrat,voted_african_republican,voted_african_nonpartisan,voted_other_democrat,voted_other_republican,voted_other_nonpartisan,nonvoted_asian_democrat,nonvoted_asian_republican,nonvoted_asian_nonpartisan,nonvoted_european_democrat,nonvoted_european_republican,nonvoted_european_nonpartisan,nonvoted_hispanic_democrat,nonvoted_hispanic_republican,nonvoted_hispanic_nonpartisan,nonvoted_african_democrat,nonvoted_african_republican,nonvoted_african_nonpartisan,nonvoted_other_democrat,nonvoted_other_republican,nonvoted_other_nonpartisan
02158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2
02164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
02170,0,0,1,3,28,38,0,1,0,0,0,0,0,5,3,0,0,0,4,19,31,1,0,8,0,0,0,0,3,5
02180,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
02185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
02188,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
02195,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02198,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2
02220,0,0,0,1,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1
02230,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
02240,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2
02261,0,0,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1
02275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
02290,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
04001,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,1
04003,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,0,0,0
04005,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,4,0,0,1,0,0,0,1,0,1
04007,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
04009,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
04012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04013,2,1,1,68,107,51,29,8,11,7,0,3,10,18,8,0,3,9,37,67,65,30,9,34,5,0,1,7,14,10
04015,0,0,0,1,2,3,0,0,1,0,0,0,0,1,1,0,0,0,2,9,3,0,1,1,0,0,0,1,0,2
04017,0,0,0,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,0,0,0,0,1,0,0
04019,1,0,2,20,29,7,12,2,6,0,0,0,3,5,3,0,0,0,7,11,14,10,1,7,1,0,0,1,3,2
04020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
04021,0,0,0,4,10,3,3,1,1,0,0,0,1,0,0,0,0,0,6,15,12,3,0,2,0,0,0,1,0,1
04023,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
04025,0,0,0,5,11,5,0,1,0,0,0,0,0,2,0,0,0,0,4,2,8,0,0,0,0,0,0,0,1,0
04027,0,0,0,2,2,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,4,0,6,0,0,0,0,1,0
05001,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05003,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0
05005,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,1
05007,0,0,0,11,28,8,3,1,2,0,0,0,0,1,0,0,0,2,7,5,20,2,1,3,1,0,0,1,0,4
05009,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1
05011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
05013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
05015,0,0,0,4,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
05019,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05021,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05023,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05025,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05027,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
05029,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0
05031,0,0,0,5,10,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,7,0,0,0,0,0,1,0,0,0
05033,0,0,0,4,5,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,1,0,0
05035,0,0,0,2,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0
05037,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
05039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05041,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
05043,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
05045,0,0,0,8,11,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,6,0,0,0,0,0,1,1,0,1
05047,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
05049,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05051,0,0,0,6,10,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
05053,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0
05055,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
05057,0,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
05059,0,0,0,2,5,6,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
05061,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
05063,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0
05065,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
